"year","state","sector","source","carbdiox_millmtrcton"
2003,"alabama","Commercial","All",2.1
2003,"alabama","Industrial","Coal",9.1
2003,"alabama","Industrial","Petroleum Products",5.1
2003,"alabama","Industrial","Natural Gas",9.5
2003,"alabama","Industrial","All",23.7
2003,"alabama","Transportation","Coal",0
2003,"alabama","Transportation","Petroleum Products",31.3
2003,"alabama","Transportation","Natural Gas",1
2003,"alabama","Transportation","All",32.3
2003,"alabama","Electric Power","Coal",73.3
2003,"alabama","Electric Power","Petroleum Products",0.2
2003,"alabama","Electric Power","Natural Gas",4.7
2003,"alabama","Electric Power","All",78.2
2003,"alabama","All","Coal",82.3
2003,"alabama","All","Petroleum Products",37.8
2003,"alabama","All","Natural Gas",19.1
2003,"alabama","All","All",139.3
2004,"alabama","Residential","Coal",0
2004,"alabama","Residential","Petroleum Products",0.6
2004,"alabama","Residential","Natural Gas",2.4
2004,"alabama","Residential","All",3
2004,"alabama","Commercial","Coal",0
2004,"alabama","Commercial","Petroleum Products",0.7
2004,"alabama","Commercial","Natural Gas",1.4
2004,"alabama","Commercial","All",2.2
2004,"alabama","Industrial","Coal",9.3
2004,"alabama","Industrial","Petroleum Products",5
2004,"alabama","Industrial","Natural Gas",9.7
2004,"alabama","Industrial","All",24
2004,"alabama","Transportation","Coal",0
2004,"alabama","Transportation","Petroleum Products",34
2004,"alabama","Transportation","Natural Gas",0.9
2004,"alabama","Transportation","All",34.8
2004,"alabama","Electric Power","Coal",71.2
2004,"alabama","Electric Power","Petroleum Products",0.1
2004,"alabama","Electric Power","Natural Gas",6.4
2004,"alabama","Electric Power","All",77.6
2004,"alabama","All","Coal",80.5
2004,"alabama","All","Petroleum Products",40.3
2004,"alabama","All","Natural Gas",20.8
2004,"alabama","All","All",141.6
2005,"alabama","Residential","Coal",0
2005,"alabama","Residential","Petroleum Products",0.4
2005,"alabama","Residential","Natural Gas",2.3
2005,"alabama","Residential","All",2.7
2005,"alabama","Commercial","Coal",0
2005,"alabama","Commercial","Petroleum Products",0.5
2005,"alabama","Commercial","Natural Gas",1.4
2005,"alabama","Commercial","All",1.8
2005,"alabama","Industrial","Coal",8.5
2005,"alabama","Industrial","Petroleum Products",5.1
2005,"alabama","Industrial","Natural Gas",9.1
2005,"alabama","Industrial","All",22.7
2005,"alabama","Transportation","Coal",0
2005,"alabama","Transportation","Petroleum Products",33.9
